fac_id,m1saq1,m1saq2a,m1saq3,m1saq4,m1saq6,m1saq7,m1saq9b_1,m1saq9b_2,m1saq10h,m1saq10m,m1saq11h,m1saq11m,m1saq15b_1,m1saq15b_2,m1saq16,m1saq16s,m1sbq4,m1sbq8,m1sbq11,m1sbq12,m1sbq20,m1sbq23,m1sbq24,m1sbq25,m1sbq26,m1sbq27,m1sbq28,m1sbq29,m1scq17,m1scq18,m1scq19,m1scq20,m1sdq1a,m1sdq1b,m1sdq1c,m1sdq2a,m1sdq2b,m1sdq2c,m1sdq3a,m1sdq3b,m1sdq3c,m1sdq4a,m1sdq4b,m1sdq4c,m1sdq5a,m1sdq5b,m1sdq5c,m1sdq6a,m1sdq6b,m1sdq6c,m1sdq7a,m1sdq7b,m1sdq7c,m1sdq8a,m1sdq8b,m1sdq8c,m1sdq9a,m1sdq9b,m1sdq10a,m1sdq10b,m1sdq11a,m1sdq11b,m1sdq12a,m1sdq12b,m1sdq13a,m1sdq13b,m1seq1,m1seq2,m1seq3,m1seq4,m1seq5,m1seq6,m1seq7,m1seq8,m1seq9,m1seq10,m1seq11,m1seq12,m1seq13,m1seq14,m1seq15,m1seq16,m1seq17,m1seq18,m1seq19,m1seq20,m1seq21,m1seq22,m1seq23,m1seq24,m1seq25,m1seq26,m1seq27,m1seq28,m1seq29,m1seq30,m1seq31,m1seq32,m1seq33,m1seq34,m1seq35,m1seq36,m1seq37,m1seq38,m1seq39,m1seq40,m1seq41,m1seq42,m1seq43,m1seq44,m1seq45,m1seq46,m1seq47,m1seq48,m1seq49,m1seq50,m1seq51,m1seq52,m1seq53,m1seq54,m1seq54aut,m1seq55,m1seq56,m1seq57,m1seq58,m1seq59,m1seq60,m1seq61,m1seq62,m1seq63,m1seq64,m1seq65,m1seq66
11,Oui,,4,403,11,Urban,51,52,13,30,18,5,51,52,Questionnaire rempli,3,Public,Health Post,1001-2000,Permanence,Over 50,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,Non,,Non,,Non,,Oui,Oui (observé),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Oui,"Oui, observé",10.0,"Oui, observé",Réseau électrique (CEET),,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé","Oui, observé"
12,Oui,,4,403,12,Rural,51,52,8,20,14,0,51,52,Questionnaire rempli,3,Public,Health Post,1001-2000,Permanence,50 or less,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Non,,,Non,,Non,,Non,,Oui,Oui (observé),Oui,Oui (observé),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (MAIS TOUS périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Oui,"Oui, observé",10.0,Non,Pétrole,,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé",Non
13,Oui,,4,404,13,Rural,61,132,8,20,13,40,61,132,Questionnaire rempli,3,Public,Health Post,Over 3000,Permanence et garde,Over 50,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,"Oui, payé par un privé","Oui, payé par un privé","Oui, payé par un privé",Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Oui,Oui (observé),Public,Non,,Non,,Non,,Oui,Oui (observé),Oui,Oui (observé),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Oui,"Oui, observé",6.0,"Oui, observé",Panneau solaire,,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé","Oui, observé"
14,Oui,,4,404,14,Rural,51,52,8,10,13,0,51,52,Questionnaire rempli,3,Public,Health Post,1001-2000,Permanence,50 or less,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Oui,Oui (observé),Public,Non,,Non,,Non,,Oui,Oui (observé),Oui,Oui (observé),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (MAIS TOUS périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Oui,"Oui, observé",2.0,"Oui, observé",Gaz,,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé",Non
15,Oui,,4,404,15,Urban,51,52,8,20,14,30,51,52,Questionnaire rempli,3,Private,Health Center,501-1000,Permanence et garde,50 or less,Oui,Oui,Oui,Oui,Non,Non,Non,Non,"Oui, payé par le centre","Oui, payé par le centre","Oui, payé par le centre",Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Non,,,Non,,Non,,Oui,Oui (observé),Non,,Oui,Oui (observé),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Oui,"Oui, observé",5.0,"Oui, observé",Panneau solaire,,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé",Non
16,Oui,,4,404,16,Rural,61,132,7,45,12,20,61,132,Questionnaire rempli,3,Public,Health Post,2001-3000,Permanence et garde,Over 50,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Oui,Oui (observé),Public,Non,,Non,,Non,,Oui,Oui (observé),Oui,Oui (observé),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (MAIS TOUS périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Non,,,,,,Oui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Jamais disponsible,Pas disponible aujourd'hui,"Oui, observé","Oui, observé","Oui, observé","Oui, observé",Non
17,Oui,,4,401,17,Rural,81,82,9,34,13,12,81,82,Questionnaire rempli,4,Public,Health Post,501-1000,Permanence et garde,50 or less,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Non,,Non,,Non,,Non,,Non,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Oui,"Oui, observé",8.0,"Oui, observé",Panneau solaire,,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé","Oui, observé"
18,Oui,,4,401,18,Rural,81,82,9,25,12,57,81,82,Questionnaire rempli,4,Public,Health Post,501-1000,Permanence et garde,Over 50,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Non,,,Non,,Non,,Non,,Oui,Oui (observé),Non,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Oui,"Oui, observé",6.0,"Oui, observé",Gaz,,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé","Oui, observé"
19,Oui,,4,401,19,Urban,61,132,7,20,14,50,61,132,Questionnaire rempli,3,Public,Hospital,Over 3000,Permanence et garde,Over 50,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,"Oui, payé par le centre","Oui, payé par le centre",Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Oui,Oui (observé),Public,Non,,Non,,Oui,Non,Non,,Oui,Oui (observé),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (MAIS TOUS périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Oui,"Oui, observé",3.0,Non,Réseau électrique (CEET),,Non,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé","Oui, observé"
20,Oui,,4,401,20,Urban,61,132,7,47,14,52,61,132,Questionnaire rempli,3,Private,Health Post,1001-2000,Permanence et garde,50 or less,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Non,"Oui, payé par le centre",Non,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Oui,Oui (observé),Public,Non,,Non,,Non,,Non,,Non,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (MAIS TOUS périmés),Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (MAIS TOUS périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Oui,"Oui, observé",7.0,"Oui, observé",Réseau électrique (CEET),,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé","Oui, observé"
